,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
78,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.4696731775627542,immuneacinar_0_0_1000_5,5
79,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_5,5
80,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_5,5
81,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.37092390551012305,immuneacinar_0_0_1000_50,50
82,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_50,50
83,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_50,50
84,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.0,immuneacinar_0_0_1000_100,100
85,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_100,100
86,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_100,100
87,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.3743612975753545,immunemultiple_2_5_5000_5,5
88,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_5,5
89,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_5,5
90,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.0,immunemultiple_2_5_5000_50,50
91,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_50,50
92,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_50,50
93,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.14489316879713546,immunemultiple_2_5_5000_100,100
94,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_100,100
95,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_100,100
96,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,pcr,0.9937065867448661,immuneacinar_5_0_5000_5,5
