,ad,dataset,c_type,n_cell,cell_times,seq_depth,method,metric,evaluation,fig_path,hyper_para
66,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.0,immunebeta_2_0_5000_50,50
67,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_50,50
68,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_50,50
69,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,pcr,0.0,immunebeta_2_0_5000_100,100
70,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,nmi,0.0,immunebeta_2_0_5000_100,100
71,path,human_pancreas_norm_complexBatch,beta,2,0,5000,scgen,ari,0.0,immunebeta_2_0_5000_100,100
72,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.9711709732763506,immuneacinar_0_0_1000_5,5
73,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_5,5
74,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_5,5
75,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.9639813959926871,immuneacinar_0_0_1000_50,50
76,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_50,50
77,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_50,50
78,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,pcr,0.0,immuneacinar_0_0_1000_100,100
79,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,nmi,0.0,immuneacinar_0_0_1000_100,100
80,path,human_pancreas_norm_complexBatch,acinar,0,0,1000,scgen,ari,0.0,immuneacinar_0_0_1000_100,100
81,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.28919066907341984,immunemultiple_2_5_5000_5,5
82,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_5,5
83,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_5,5
84,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.0,immunemultiple_2_5_5000_50,50
85,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_50,50
86,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_50,50
87,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,pcr,0.0,immunemultiple_2_5_5000_100,100
88,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,nmi,0.08850386140290029,immunemultiple_2_5_5000_100,100
89,path,human_pancreas_norm_complexBatch,multiple,2,5,5000,scgen,ari,0.057387116302569235,immunemultiple_2_5_5000_100,100
90,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,pcr,0.0,immuneacinar_5_0_5000_5,5
91,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,nmi,0.0,immuneacinar_5_0_5000_5,5
92,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,ari,0.0,immuneacinar_5_0_5000_5,5
93,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,pcr,0.8536554933145512,immuneacinar_5_0_5000_50,50
94,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,nmi,0.0,immuneacinar_5_0_5000_50,50
95,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,ari,0.0,immuneacinar_5_0_5000_50,50
96,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,pcr,0.0,immuneacinar_5_0_5000_100,100
97,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,nmi,0.0,immuneacinar_5_0_5000_100,100
98,path,human_pancreas_norm_complexBatch,acinar,5,0,5000,scgen,ari,0.0,immuneacinar_5_0_5000_100,100
99,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,pcr,0.0,immunealpha_0_0_10000_5,5
100,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,nmi,0.0,immunealpha_0_0_10000_5,5
101,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,ari,0.0,immunealpha_0_0_10000_5,5
102,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,pcr,0.20620305639504954,immunealpha_0_0_10000_50,50
103,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,nmi,0.0,immunealpha_0_0_10000_50,50
104,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,ari,0.0,immunealpha_0_0_10000_50,50
105,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,pcr,0.0,immunealpha_0_0_10000_100,100
106,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,nmi,0.0,immunealpha_0_0_10000_100,100
107,path,human_pancreas_norm_complexBatch,alpha,0,0,10000,scgen,ari,0.0,immunealpha_0_0_10000_100,100
108,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,pcr,0.5935188060852997,immunebeta_5_0_5000_5,5
109,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,nmi,0.0,immunebeta_5_0_5000_5,5
110,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,ari,0.0,immunebeta_5_0_5000_5,5
111,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,pcr,0.9310871357572039,immunebeta_5_0_5000_50,50
112,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,nmi,0.0,immunebeta_5_0_5000_50,50
113,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,ari,0.0,immunebeta_5_0_5000_50,50
114,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,pcr,0.0,immunebeta_5_0_5000_100,100
115,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,nmi,0.0,immunebeta_5_0_5000_100,100
116,path,human_pancreas_norm_complexBatch,beta,5,0,5000,scgen,ari,0.0,immunebeta_5_0_5000_100,100
117,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,pcr,0.9187820628167868,immuneductal_2_0_1000_5,5
118,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,nmi,0.0,immuneductal_2_0_1000_5,5
119,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,ari,0.0,immuneductal_2_0_1000_5,5
120,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,pcr,0.0,immuneductal_2_0_1000_50,50
121,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,nmi,0.0,immuneductal_2_0_1000_50,50
122,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,ari,0.0,immuneductal_2_0_1000_50,50
123,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,pcr,0.5139398447869841,immuneductal_2_0_1000_100,100
124,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,nmi,0.0,immuneductal_2_0_1000_100,100
125,path,human_pancreas_norm_complexBatch,ductal,2,0,1000,scgen,ari,0.0,immuneductal_2_0_1000_100,100
126,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,pcr,0.04137785482495019,immunemultiple_5_5_10000_5,5
127,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,nmi,0.06501516874148143,immunemultiple_5_5_10000_5,5
128,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,ari,0.03183552707197185,immunemultiple_5_5_10000_5,5
129,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,pcr,0.0,immunemultiple_5_5_10000_50,50
130,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,nmi,0.06501516874148143,immunemultiple_5_5_10000_50,50
131,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,ari,0.03183552707197185,immunemultiple_5_5_10000_50,50
132,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,pcr,0.0,immunemultiple_5_5_10000_100,100
133,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,nmi,0.06501516874148143,immunemultiple_5_5_10000_100,100
134,path,human_pancreas_norm_complexBatch,multiple,5,5,10000,scgen,ari,0.03183552707197185,immunemultiple_5_5_10000_100,100
135,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,pcr,0.9574952413749841,immunedelta_0_0_10000_5,5
136,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,nmi,0.0,immunedelta_0_0_10000_5,5
137,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,ari,0.0,immunedelta_0_0_10000_5,5
138,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,pcr,0.0,immunedelta_0_0_10000_50,50
139,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,nmi,0.0,immunedelta_0_0_10000_50,50
140,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,ari,0.0,immunedelta_0_0_10000_50,50
141,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,pcr,0.18810802871999333,immunedelta_0_0_10000_100,100
142,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,nmi,0.0,immunedelta_0_0_10000_100,100
143,path,human_pancreas_norm_complexBatch,delta,0,0,10000,scgen,ari,0.0,immunedelta_0_0_10000_100,100
144,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,pcr,0.542388924809563,immunealpha_5_0_1000_5,5
145,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,nmi,0.0,immunealpha_5_0_1000_5,5
146,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,ari,0.0,immunealpha_5_0_1000_5,5
147,path,human_pancreas_norm_complexBatch,alpha,5,0,1000,scgen,pcr,0.9714044512071331,immunealpha_5_0_1000_50,50
